Title,year,dominant_topic,topic_label
Academic Resilience: Experiences of Latino United States Army Active-Duty Soldiers and Veterans,2020,0,"Topic 1: army, organizational, program"
"Leadership Styles, Employee Performance and Turnover within the Federal Government Information Technology Environment",2020,0,"Topic 1: army, organizational, program"
"Organizational Challenges and Concretion of Cybersecurity Education, Training, Exercises, and Performance Predictors Within the United States Department of Defense",2020,0,"Topic 1: army, organizational, program"
Examining the Relationship Between the Factors in Human Capital That Most Affect Organizational Performance,2020,0,"Topic 1: army, organizational, program"
The expression signatures in liver and adipose tissue from obese Göttingen Minipigs reveal a predisposition for healthy fat accumulation,2020,1,"Topic 2: system, model, used"
NEWSMAKERS,2020,2,"Topic 3: process, management, business"
Social Affinity Flow Theory: A New Understanding of Both Human Interaction and the Power of the Bahá'í Training Institute Process,2019,0,"Topic 1: army, organizational, program"
RBJ TECHNOLOGY and MANUFACTURING AWARDS,2019,2,"Topic 3: process, management, business"
"Shifting from a ""Culture of Compliance"" to a ""Culture of Excellence"": Department of the Navy's Integrated Risk Management Strategy",2019,2,"Topic 3: process, management, business"
FAST TURNAROUND,2019,0,"Topic 1: army, organizational, program"
NAVSUP Fleet Logistics Center San Diego Civil Service Employee Accepted into Naval Postgraduate School,2019,2,"Topic 3: process, management, business"
"""Trusted Care"" leads to zero harm at Travis AFB Clinical and Pathology Lab: MLO",2019,0,"Topic 1: army, organizational, program"
Improving Information Flows in the Production Planning Process: Proposal of a Dashboard Based on KPIs,2019,2,"Topic 3: process, management, business"
Information Systems Driven to Decision Support and Institutions’ Success in the Higher Education Context Exploring key antecedents through a technology acceptance perspective,2019,0,"Topic 1: army, organizational, program"
A Balance of Design Methodology for Enterprise Quality Attribute Consideration in System-Of-Systems Architecting,2019,1,"Topic 2: system, model, used"
Exploring the Perspectives from Records Management Personnel: The Challenges of Electronic Health Records Management,2019,0,"Topic 1: army, organizational, program"
Too Agile? - DevOps Software Development Challenges in a Military Environment,2019,2,"Topic 3: process, management, business"
Technical Reviews in Complex Development Programs,2019,0,"Topic 1: army, organizational, program"
Integrating Health Care Systems to Maintain Quality Care and to Manage Cost,2019,0,"Topic 1: army, organizational, program"
IT Project Managers' Education and Certification Impact on Project Success: A Comparative Study,2019,0,"Topic 1: army, organizational, program"
An Exploration of the Influence Afloat Maintenance has on the 21st Century Naval Sailor's Reenlistment Decision,2019,2,"Topic 3: process, management, business"
A Proposed Knowledge Management Portal for Sharing Information within a Government Organization,2019,1,"Topic 2: system, model, used"
Uncovering Hidden Patterns of Thought in War: Wei-Chi versus Chess,2018,0,"Topic 1: army, organizational, program"
Using Actual Results to Actually Improve Acquisition,2018,2,"Topic 3: process, management, business"
Reserve Should Take Cyber Mission and Go West,2018,0,"Topic 1: army, organizational, program"
PERSONNEL FILE,2018,0,"Topic 1: army, organizational, program"
Analysis of Fashion E-Commerce Data to Promote Process Strategical Improvements,2018,1,"Topic 2: system, model, used"
Process Modeling for Sales Management: Critical Analysis and Improvement Through Information Management Technologies,2018,2,"Topic 3: process, management, business"
Lean Six Sigma as an Optimization Strategy: Pharmaceutical Industry Implementation,2018,2,"Topic 3: process, management, business"
Implementation of a PMO in a New Automation Business Unit in the Company Siemens,2018,2,"Topic 3: process, management, business"
APPLICATION OF LEAN SIX SIGMA TO REDUCE REPEATED HANDLING OF MATERIAL AT TOBYHANNA ARMY DEPOT,2018,2,"Topic 3: process, management, business"
DESIGN OF THE MANUFACTURABILITY ASSESSMENT KNOWLEDGE-BASED EVAULATION TOOL,2018,1,"Topic 2: system, model, used"
Development of a Conceptual Stage Product Design and Manufacturing Risk Mitigation Assessment,2018,1,"Topic 2: system, model, used"
The Role of Professional Development and Certification in Technology Worker Turnover: An Evaluation Study,2018,0,"Topic 1: army, organizational, program"
Strategies to Streamline the U.S. Army’s Acquisition Approval Process,2018,0,"Topic 1: army, organizational, program"
Strategies for Improving Contractors' Defense Acquisition Cost Estimates,2018,2,"Topic 3: process, management, business"
Servant Leadership Theory across Subcultures: A Comparative Study between Officer and Enlisted Leaders of the U.S. Air Force,2018,0,"Topic 1: army, organizational, program"
Assessing Ilities as an Indicator to Retiring DoD Systems,2018,1,"Topic 2: system, model, used"
A Qualitative Case Study in Professional Information Assurance Workforce Practices Demonstrated Through the Department of Defense,2018,0,"Topic 1: army, organizational, program"
Military Leaders' Perceived Importance of Emotional Intelligence (EI) Characteristics When Leading Organizational Change,2018,0,"Topic 1: army, organizational, program"
Reducing the Number of Nonparticipants in the U.S. Army Reserve,2018,0,"Topic 1: army, organizational, program"
SEASON of CHANGE,2018,2,"Topic 3: process, management, business"
Factors that Influence how Sunni Muslims in Western Michigan Perceive Violence,2018,0,"Topic 1: army, organizational, program"
Using Multi Criteria Decision Analysis Decision Support Systems to Conduct Analysis of Alternatives for Department of Defense Acquisition Programs,2018,1,"Topic 2: system, model, used"
Corporate Capability Statements,2018,0,"Topic 1: army, organizational, program"
"SME, SME Foundation and AIME will present awards in Minneapolis",2018,2,"Topic 3: process, management, business"
The DSCA Corps: Bridging the Gap between the Profession of Arms and Domestic Operations,2017,0,"Topic 1: army, organizational, program"
"GIVE MORE, GET MORE",2017,2,"Topic 3: process, management, business"
Increasing Partner-Nation Capacity Through Global Health Engagement,2017,0,"Topic 1: army, organizational, program"
Implementation of F.W. Lanchester’s combat model in a supply chain in duopoly: the case of Coca-Cola and Pepsi in Greece,2017,1,"Topic 2: system, model, used"
Push Logistics in a Communications Degraded/Communications Denied Environment,2017,2,"Topic 3: process, management, business"
"When the world calls for emergency services, who answers? A surgeon general’s perspective on running a high performance health services organization",2017,0,"Topic 1: army, organizational, program"
Improving Readiness and Reducing Costs: An Analysis of Factors That Influence Site Selection for Army Outpatient Surgical Services,2017,0,"Topic 1: army, organizational, program"
ZERO to FULL MANPOWER in 8 HOURS,2017,0,"Topic 1: army, organizational, program"
RIDING the EXPERIENCE CURVE,2017,2,"Topic 3: process, management, business"
The Association for Global Logistics and Transportation,2017,2,"Topic 3: process, management, business"
ACHE Member Update,2017,3,"Topic 4: would, operation, air"
Embracing the Devil: An Analysis of the Formal Adoption of Red Teaming in the Security Planning for Major Events,2017,0,"Topic 1: army, organizational, program"
Target Parameter Estimation in MIMO Radars,2017,1,"Topic 2: system, model, used"
Defining Marketing-As-Practice and Identifying Marketing Tools Used by Practitioners in the Algarve,2017,2,"Topic 3: process, management, business"
Reducing Setup Time in Injection Process Using SMED Methodology,2017,2,"Topic 3: process, management, business"
Clinical Decision Support: Knowledge Representation and Uncertainty Management,2017,1,"Topic 2: system, model, used"
Implementation of the Baldrige Criteria at USAG Eisenhower,2017,0,"Topic 1: army, organizational, program"
Alternative Specimens in Forensic Toxicology: Analysis of Drugs of Abuse,2017,1,"Topic 2: system, model, used"
Acquiring the Tools of Grand Strategy: The US Navy's LCS as a Case Study,2017,1,"Topic 2: system, model, used"
A Study of the Material Inspection Record and Quality Systems: A Case in the United States Department of the Navy,2017,2,"Topic 3: process, management, business"
IMPROVING THE GOVERNMENT PURCHASE CARD APPROVAL PROCESS AT THE U.S. MILITARY ACADEMY: A LEAN SIX SIGMA APPLICATION,2017,2,"Topic 3: process, management, business"
"Enterprise Business System Effects on Workforce Staffing Levels: Examining Organizational Learning and Knowledge Transfer within the Department of Defense, Defense Logistics Agency",2017,2,"Topic 3: process, management, business"
Discovering Motivational Factors behind Employees Conducting Non-Malicious Information Security Policy Behavior: A Military Perspective,2017,0,"Topic 1: army, organizational, program"
Establishing Best Practices in Logistics within Naval Aviation Enterprise: A Qualitative Case Study,2017,2,"Topic 3: process, management, business"
Stay Off the Grass: Experiences of Mentors and Mentees in the U. S. Army,2017,0,"Topic 1: army, organizational, program"
Investigating the Perceived Influence of Data Warehousing and Business Intelligence Maturity on Organizational Performance: A Mixed Methods Study,2017,2,"Topic 3: process, management, business"
The Development of Organizational Training: Identifying Generational Differences and Perceptions in Computerized Learning Systems in Government Organizations,2017,0,"Topic 1: army, organizational, program"
The Effect of the Selfless Leadership Program,2017,0,"Topic 1: army, organizational, program"
Improving Fleet Readiness Utilizing the AIRSpeed Continuous Improvement Strategy,2017,3,"Topic 4: would, operation, air"
Model-Based Systems Engineering Application to Analyze the Ground Vehicle and Robotics Sustainment Support Strategy,2017,1,"Topic 2: system, model, used"
Agile methodology for spacecraft ground software development: A cultural shift,2017,2,"Topic 3: process, management, business"
A Deterministic and Random Propagation Study with the Design of an Open Path 320 GHz to 340 GHz Transmissometer,2017,1,"Topic 2: system, model, used"
The Challenges of Commanding Modular Organizations: Based on a Modified Delphi Analysis of the U.S. Army,2017,0,"Topic 1: army, organizational, program"
Strategies that Logistics Leaders use for Achieving Successful Process Improvement,2017,0,"Topic 1: army, organizational, program"
Strategies for Exploring: ACAT III Requirement Approval Process,2017,0,"Topic 1: army, organizational, program"
Expeditionary economics: A qualitative case study of Army tactical leaders' economic development skills,2017,0,"Topic 1: army, organizational, program"
A Quantitative Study Examining How Training Enhances Policy Compliance,2017,0,"Topic 1: army, organizational, program"
Hiring for Performance and Retention: Examining the Relationship between Cognitive Fit and Employee Turnover in the U.S. Navy,2017,2,"Topic 3: process, management, business"
Differentiating Management and Leadership in the U.S. Army: Lessons Learned from the Civlian Sector,2016,0,"Topic 1: army, organizational, program"
How to Tell Stories Using Visualization: Strategies Towards Narrative Visualization,2016,2,"Topic 3: process, management, business"
Exploring the Influence of Design Thinking on the Decision Making of Army Leaders,2016,0,"Topic 1: army, organizational, program"
"Joint Improvised-Threat Defeat Agency (JIDA) Technology Development/Identification, Acquisition and Support: An Exploratory Case Study",2016,0,"Topic 1: army, organizational, program"
Job Satisfaction in the National Geospatial Intelligence Agency,2016,2,"Topic 3: process, management, business"
Strategies for Implementing a Successful Enterprise Resource Planning System,2016,0,"Topic 1: army, organizational, program"
"The relationship between U.S. Federal Governments cost estimates, service contract costs, and cost overruns",2016,2,"Topic 3: process, management, business"
"Army veteran's discipline cuts used-car recon time in half: Standardizing processes, reducing redundancy key",2015,2,"Topic 3: process, management, business"
Utilizing the SETR process in the procurement of TPSs on the CASS Family of Testers,2015,2,"Topic 3: process, management, business"
Benchmarking contract management process maturity: a case study of the US Navy,2015,2,"Topic 3: process, management, business"
A Roadmap of How One Governor Used Economic Development to Create a New Virginia Economy-Part Two,2015,2,"Topic 3: process, management, business"
Systems engineering framework for cyber physical security and resilience,2015,3,"Topic 4: would, operation, air"
INTERNATIONAL CHAPTER NEWS,2015,3,"Topic 4: would, operation, air"
Frigate Update,2015,2,"Topic 3: process, management, business"
COMMENT & DISCUSSION,2015,2,"Topic 3: process, management, business"
KENDALL RELEASES NEW PENTAGON ACQUISITION POLICY GUIDANCE,2015,2,"Topic 3: process, management, business"
Design and Implementation of the VLF Wave and Particle Precipitation Mapper Sensor Suite,2015,1,"Topic 2: system, model, used"
Improving Defense Acquisition Outcomes Using an Integrated Systems Engineering Decision Management (ISEDM) Approach,2015,1,"Topic 2: system, model, used"
Integrating the principles of total quality into the strategic planning process for a federal services acquisition organization,2015,2,"Topic 3: process, management, business"
APPLICATION OF LEAN SIX SIGMA PROCESS IMPROVEMENT AT TOBYHANNA ARMY DEPOT,2015,2,"Topic 3: process, management, business"
Reducing the Risk of Excessive Completion Times for Lean Six Sigma Competency Office (LSSCO) Green Belt Projects,2015,2,"Topic 3: process, management, business"
Program Evaluation: A Federal Agency's Air Traffic Control Train-the-Trainer Program,2015,0,"Topic 1: army, organizational, program"
Analysis of Light Emitting Diode Technology for Aerospace Suitability in Human Space Flight Applications,2015,3,"Topic 4: would, operation, air"
Intelligence Community (IC) Performance Management: Did the Director of National Intelligence's (DNI) 2007 IC Policy Directive 651 on Performance Management Achieve its Policy Objectives?,2015,0,"Topic 1: army, organizational, program"
Logistics outsourcing: The value of the relationship between a corporation and the 3PL contractor,2015,0,"Topic 1: army, organizational, program"
Improving Statistical Rigor in Department of Defense Test and Evaluation: Use of Tolerance Intervals in Designed Experiments,2015,1,"Topic 2: system, model, used"
THE NDTA-USTRANSCOM FALL MEETING,2014,2,"Topic 3: process, management, business"
"In acquiring radar system, air force makes corrosion requirements well known to industry",2014,0,"Topic 1: army, organizational, program"
ACHIEVEMENTS,2014,3,"Topic 4: would, operation, air"
Dignity and Respect: The Mission of the Warrior Transition Battalion-Europe: Army Logistician,2014,0,"Topic 1: army, organizational, program"
PACOM Launches New Asia Pacific Proliferation Security Exercise,2014,3,"Topic 4: would, operation, air"
PACOM Launches New Asia Pacific Proliferation Security Exercise,2014,3,"Topic 4: would, operation, air"
PACOM Launches New Asia Pacific Proliferation Security Exercise,2014,3,"Topic 4: would, operation, air"
PACOM Launches New Asia Pacific Proliferation Security Exercise,2014,3,"Topic 4: would, operation, air"
PACOM Launches New Asia Pacific Proliferation Security Exercise,2014,3,"Topic 4: would, operation, air"
PACOM Announces First Asia Pacific Proliferation Security Exercise,2014,3,"Topic 4: would, operation, air"
Handheld Devices and Forward Observers,2014,3,"Topic 4: would, operation, air"
Management Fads: Beware of the Next Big Thing: Army Logistician,2014,2,"Topic 3: process, management, business"
Polymer-Ceramic Nancomposites for Bone Regeneration,2014,1,"Topic 2: system, model, used"
Application of LEAN Methodology to Support Projects Improvements in a Die Casting Industry,2014,2,"Topic 3: process, management, business"
<b>Fenton’s Process Applied to Wastewaters Treatment</b>: Heterogeneous and Homogeneous Catalytic Operation Modes,2014,1,"Topic 2: system, model, used"
BUSINESS TRANSFORMATION DISRUPTORS: AN INVESTIGATION AT THE MILITARY STRATEGIC COMMAND LEVEL,2014,0,"Topic 1: army, organizational, program"
Military leader perceptions of sexual assaults against female service members,2014,0,"Topic 1: army, organizational, program"
An Exploration of Organizational Collective Motivation and the Influence of the SOAR Framework to Build Organizational Collective Motivation,2014,0,"Topic 1: army, organizational, program"
Dynamic Guidelines to Statistically Control Peer Review Costs,2014,2,"Topic 3: process, management, business"
Making Program/Budget Decisions about the Future of the Navy: How Senior Flag Officers Work with Political Appointees and Career Civilian Executives inside the Navy Headquarters,2014,0,"Topic 1: army, organizational, program"
An Evaluation of Organizational Change and Lean Six Sigma in Federal Government,2014,0,"Topic 1: army, organizational, program"
"Asset turn-in Lean Six Sigma project for White Sands Test Center, Department of the Army",2014,2,"Topic 3: process, management, business"
The perspectives of women leaders within the Department of Defense: Insights from their lived experiences,2014,0,"Topic 1: army, organizational, program"
An examination of the effects of incrementalism and annuality in U.S. government budgeting practices,2014,2,"Topic 3: process, management, business"
Female officers who achieved general officer status in the u.s. army: A multiple-case study of motivation and success strategies,2014,0,"Topic 1: army, organizational, program"
Wheel of innovation: How leaders' attitudes and behaviors drive disruptive technology in the U.S. Navy,2014,0,"Topic 1: army, organizational, program"
Sailing on a Sea of Hope: Exploring the Impact of Federal Consolidation on Individual Identification and Organizational Identity,2014,0,"Topic 1: army, organizational, program"
An investigation of business transformation disruptors at the military strategic command level,2014,0,"Topic 1: army, organizational, program"
The Effectiveness of Soldier Medical Readiness Councils in Reducing and Shaping the Population of Soldiers Not Medically Deployable,2013,0,"Topic 1: army, organizational, program"
2013 Top Forty Under 40: Angela M. Major,2013,0,"Topic 1: army, organizational, program"
NDTA: The Association for Global Logistics and Transportation,2013,3,"Topic 4: would, operation, air"
Depot Service Changes With Technology,2013,3,"Topic 4: would, operation, air"
A Network Approach to Identifying Military Fleet Replacement Strategies,2013,1,"Topic 2: system, model, used"
From Business Process Outsourcing to Business Process Management: Romania as an Outsourcing Destination for Portuguese Speaking Countries,2013,2,"Topic 3: process, management, business"
The Role of Simulation in Business Process Improvement: Difficulties and Solutions,2013,2,"Topic 3: process, management, business"
Pay for performance in the public sector: From the National Security Personnel system to the Affordable Care Act,2013,1,"Topic 2: system, model, used"
Senior leader commitment to continuous process improvement: An exploratory study of a military organization,2013,2,"Topic 3: process, management, business"
Triazine-mediated disruption of BLTK1 Leydig cell steroidogenesis,2013,1,"Topic 2: system, model, used"
The influence of contemporary Army culture on senior enlisted women's decision to commit to a lifelong career,2013,0,"Topic 1: army, organizational, program"
Project management professional training needs for defense industry projects,2013,0,"Topic 1: army, organizational, program"
STEWARDSHIP IN THE DESERT: Making and Saving Money in the Southwest Asia Theater of Operation,2013,2,"Topic 3: process, management, business"
Lean principles and defense information technology acquisition: An investigation of the determinants of successful application,2013,2,"Topic 3: process, management, business"
A holistic compliance model for capture teams: A grounded theory approach,2013,1,"Topic 2: system, model, used"
Exploring Knowledge Sharing in the Department of Defense,2013,0,"Topic 1: army, organizational, program"
The Impact of an ISO 9000-Compliant Quality Management System on Product Quality from Suppliers in a DOD Procurement Environment,2013,1,"Topic 2: system, model, used"
CPI in public service: IE,2012,2,"Topic 3: process, management, business"
"CDFM, LSS, and the Future Resource Manager: Army Logistician",2012,2,"Topic 3: process, management, business"
"Abstracts from the Society for Clinical Trials Annual Meeting, Miami, May 21-23, 2012",2012,1,"Topic 2: system, model, used"
"TWICE THE CITIZEN, TWICE THE STUDENT",2012,2,"Topic 3: process, management, business"
Enabling Resource-Informed Decision Making: An Industry Perspective,2012,2,"Topic 3: process, management, business"
The New Cost Warriors,2012,2,"Topic 3: process, management, business"
Team spirit,2012,0,"Topic 1: army, organizational, program"
Army Aviation Update,2012,3,"Topic 4: would, operation, air"
Mega - Mobile Multimodal Extended Games,2012,2,"Topic 3: process, management, business"
Bridging the knowledge gap between the Baby Boomers and the multigenerations,2012,0,"Topic 1: army, organizational, program"
Methodology for engineering requirements for complex systems,2012,1,"Topic 2: system, model, used"
