Title,year,primary_theme
STITCHING THE ARMY'S DATA FABRIC,2021,Continuous Learning
A 'triple-dog-dare' to achieve quality through strategic layering,2021,Process Improvement
Using Risk as the Lens to Envision High-Reliability Principles in Healthcare,2021,Management and Leadership
Sustaining Relevance: Repositioning Strategic Logistics Innovation in the Military,2021,Process Improvement
Seating Solution,2021,Process Improvement
Tech Program Preview,2021,Management and Leadership
Improvement of Project Management Efficiency With a Business Intelligence Solution in an Automotive Supplier Company,2021,Continuous Learning
Os Três Pilares da Sustentabilidade e Gestão ágil de Projectos: Como é Que Eles se Influenciam,2021,Management and Leadership
Productivity Improvement in a Company of the Industry of Bolting Systems,2021,Process Improvement
Machine Learning Models for Predictive Quality,2021,Process Improvement
Analytics for Model-Based Engineering Trade Studies in the Development of DoD Systems,2021,Process Improvement
High Reliability at a U.S. Air Force Outpatient Clinic: Have We Improved and Are We Ready for the Future,2021,Management and Leadership
Breaking the Black Brass Ceiling: An Examination of Success Strategies of Veteran and Retired African American Female Leaders during Their Career Ascension to Top Leadership Positions in the United States Department of Defense,2021,Management and Leadership
A Qualitative Study on Government Project Overruns: From the Users Perspective,2021,Management and Leadership
Conducting a Line Operations Safety Audit (LOSA) during Aeromedical Evacuation (AE) en Route Care Operations – Developing a Model for LOSA within a Patient Care Setting,2021,Process Improvement
The Evolution of Organization Development in the U.S. Military: An Examination of Intervention Typologies,2021,Process Improvement
A Novel Shock Absorber with the Preload and Global Negative Stiffness for Effective Shock Isolation,2021,Process Improvement
LEADERSHIP THROUGH INSPIRATION,2021,Management and Leadership
CREATING SUCCESS OUT OF NECESSITY,2021,Management and Leadership
Tobacco smoking induces metabolic reprogramming of renal cell carcinoma,2021,Continuous Learning
Modular Open Systems Approach (MOSA) and Its Impact on the US Defense Acquisition Methods and Programs,2021,Process Improvement
"How to perform spectrum-based LC-HR-MS screening for more than 1,000 NPS with HighResNPS consensus fragment ions",2020,Continuous Learning
Interview with Honorable Thomas W. Harker,2020,Management and Leadership
To Travel or Not to Travel: New tool helps Reservists make an informed de,2020,Management and Leadership
NAVSUP FLC Jacksonville Introduces New Procurement Tracker Tool: ProTrack,2020,Process Improvement
THE DROIDS YOU'RE LOOKING FOR,2020,Continuous Learning
UNDERSTANDING the CONTRACTING ENVIRONMENT in the AFSB: Army Logistician,2020,Management and Leadership
Exploring the Factors Responsible for the Delays in the Execution of Construction Projects by the National Department of Public Works and Infrastructure in South Africa,2020,Management and Leadership
Risk Profile of Polish Enterprises in the Media Sector Listed on the Warsaw Stock Exchange,2020,Continuous Learning
USING SELR (SIMPLIFY-ENABLE-LEVERAGE-RESOURCE) TO DEVELOP SOLUTIONS TO IDENTIFIED OPPORTUNITIES,2020,Process Improvement
The expression signatures in liver and adipose tissue from obese Göttingen Minipigs reveal a predisposition for healthy fat accumulation,2020,Process Improvement
IMPROVING THE FABRICATION PROCESS AT TOBYHANNA ARMY DEPOT,2020,Process Improvement
IMPROVING FISCAL STEWARDSHIP WITHIN THE GOVERNMENT SECTOR: DEVELOPMENT & IMPLEMENTATION OF THE EXECUTION RATIO,2020,Process Improvement
DEVELOPMENT OF AN EARLY LIFECYCLE CONCEPTUAL CONFIGURATION MANUFACTURABILITY ASSESSMENT METRIC FOR TRADESPACE ANALYTICS,2020,Continuous Learning
System Engineering for Radio Frequency Communication Consolidation with Parabolic Antenna Stacking,2020,Process Improvement
The Army’s Process to Evaluate Costs versus Benefits: A Case Study on the Change of Command Ceremonies,2020,Management and Leadership
Corrosion Prevention and Control Planning,2020,Continuous Learning
The Efficacy of the Civilian Education System Intermediate Course: An Exploratory Case Study,2020,Management and Leadership
U.S. Air Force Senior Enlisted Members’ Retirement Decisions and Job Embeddedness: A Generic Qualitative Inquiry,2020,Management and Leadership
Academic Resilience: Experiences of Latino United States Army Active-Duty Soldiers and Veterans,2020,Continuous Learning
"Leadership Styles, Employee Performance and Turnover within the Federal Government Information Technology Environment",2020,Management and Leadership
"Organizational Challenges and Concretion of Cybersecurity Education, Training, Exercises, and Performance Predictors Within the United States Department of Defense",2020,Management and Leadership
Examining the Relationship Between the Factors in Human Capital That Most Affect Organizational Performance,2020,Management and Leadership
The expression signatures in liver and adipose tissue from obese Göttingen Minipigs reveal a predisposition for healthy fat accumulation,2020,Process Improvement
NEWSMAKERS,2020,Management and Leadership
Social Affinity Flow Theory: A New Understanding of Both Human Interaction and the Power of the Bahá'í Training Institute Process,2019,Process Improvement
RBJ TECHNOLOGY and MANUFACTURING AWARDS,2019,Management and Leadership
"Shifting from a ""Culture of Compliance"" to a ""Culture of Excellence"": Department of the Navy's Integrated Risk Management Strategy",2019,Management and Leadership
FAST TURNAROUND,2019,Management and Leadership
NAVSUP Fleet Logistics Center San Diego Civil Service Employee Accepted into Naval Postgraduate School,2019,Management and Leadership
"""Trusted Care"" leads to zero harm at Travis AFB Clinical and Pathology Lab: MLO",2019,Management and Leadership
Improving Information Flows in the Production Planning Process: Proposal of a Dashboard Based on KPIs,2019,Process Improvement
Information Systems Driven to Decision Support and Institutions’ Success in the Higher Education Context Exploring key antecedents through a technology acceptance perspective,2019,Continuous Learning
A Balance of Design Methodology for Enterprise Quality Attribute Consideration in System-Of-Systems Architecting,2019,Process Improvement
Exploring the Perspectives from Records Management Personnel: The Challenges of Electronic Health Records Management,2019,Management and Leadership
Too Agile? - DevOps Software Development Challenges in a Military Environment,2019,Management and Leadership
Technical Reviews in Complex Development Programs,2019,Process Improvement
Integrating Health Care Systems to Maintain Quality Care and to Manage Cost,2019,Process Improvement
IT Project Managers' Education and Certification Impact on Project Success: A Comparative Study,2019,Management and Leadership
An Exploration of the Influence Afloat Maintenance has on the 21st Century Naval Sailor's Reenlistment Decision,2019,Continuous Learning
A Proposed Knowledge Management Portal for Sharing Information within a Government Organization,2019,Management and Leadership
Uncovering Hidden Patterns of Thought in War: Wei-Chi versus Chess,2018,Management and Leadership
Using Actual Results to Actually Improve Acquisition,2018,Continuous Learning
Reserve Should Take Cyber Mission and Go West,2018,Management and Leadership
PERSONNEL FILE,2018,Management and Leadership
Analysis of Fashion E-Commerce Data to Promote Process Strategical Improvements,2018,Continuous Learning
Process Modeling for Sales Management: Critical Analysis and Improvement Through Information Management Technologies,2018,Continuous Learning
Lean Six Sigma as an Optimization Strategy: Pharmaceutical Industry Implementation,2018,Process Improvement
Implementation of a PMO in a New Automation Business Unit in the Company Siemens,2018,Management and Leadership
APPLICATION OF LEAN SIX SIGMA TO REDUCE REPEATED HANDLING OF MATERIAL AT TOBYHANNA ARMY DEPOT,2018,Process Improvement
DESIGN OF THE MANUFACTURABILITY ASSESSMENT KNOWLEDGE-BASED EVAULATION TOOL,2018,Process Improvement
Development of a Conceptual Stage Product Design and Manufacturing Risk Mitigation Assessment,2018,Process Improvement
The Role of Professional Development and Certification in Technology Worker Turnover: An Evaluation Study,2018,Continuous Learning
Strategies to Streamline the U.S. Army’s Acquisition Approval Process,2018,Process Improvement
Strategies for Improving Contractors' Defense Acquisition Cost Estimates,2018,Management and Leadership
Servant Leadership Theory across Subcultures: A Comparative Study between Officer and Enlisted Leaders of the U.S. Air Force,2018,Management and Leadership
Assessing Ilities as an Indicator to Retiring DoD Systems,2018,Management and Leadership
A Qualitative Case Study in Professional Information Assurance Workforce Practices Demonstrated Through the Department of Defense,2018,Continuous Learning
Military Leaders' Perceived Importance of Emotional Intelligence (EI) Characteristics When Leading Organizational Change,2018,Management and Leadership
Reducing the Number of Nonparticipants in the U.S. Army Reserve,2018,Management and Leadership
SEASON of CHANGE,2018,Management and Leadership
Factors that Influence how Sunni Muslims in Western Michigan Perceive Violence,2018,Management and Leadership
Using Multi Criteria Decision Analysis Decision Support Systems to Conduct Analysis of Alternatives for Department of Defense Acquisition Programs,2018,Management and Leadership
Corporate Capability Statements,2018,Management and Leadership
"SME, SME Foundation and AIME will present awards in Minneapolis",2018,Management and Leadership
The DSCA Corps: Bridging the Gap between the Profession of Arms and Domestic Operations,2017,Management and Leadership
"GIVE MORE, GET MORE",2017,Process Improvement
Increasing Partner-Nation Capacity Through Global Health Engagement,2017,Management and Leadership
Implementation of F.W. Lanchester’s combat model in a supply chain in duopoly: the case of Coca-Cola and Pepsi in Greece,2017,Process Improvement
Push Logistics in a Communications Degraded/Communications Denied Environment,2017,Process Improvement
"When the world calls for emergency services, who answers? A surgeon general’s perspective on running a high performance health services organization",2017,Management and Leadership
Improving Readiness and Reducing Costs: An Analysis of Factors That Influence Site Selection for Army Outpatient Surgical Services,2017,Management and Leadership
ZERO to FULL MANPOWER in 8 HOURS,2017,Management and Leadership
RIDING the EXPERIENCE CURVE,2017,Process Improvement
The Association for Global Logistics and Transportation,2017,Management and Leadership
ACHE Member Update,2017,Management and Leadership
Embracing the Devil: An Analysis of the Formal Adoption of Red Teaming in the Security Planning for Major Events,2017,Management and Leadership
Target Parameter Estimation in MIMO Radars,2017,Process Improvement
Defining Marketing-As-Practice and Identifying Marketing Tools Used by Practitioners in the Algarve,2017,Process Improvement
Reducing Setup Time in Injection Process Using SMED Methodology,2017,Process Improvement
Clinical Decision Support: Knowledge Representation and Uncertainty Management,2017,Process Improvement
Implementation of the Baldrige Criteria at USAG Eisenhower,2017,Management and Leadership
Alternative Specimens in Forensic Toxicology: Analysis of Drugs of Abuse,2017,Process Improvement
Acquiring the Tools of Grand Strategy: The US Navy's LCS as a Case Study,2017,Process Improvement
A Study of the Material Inspection Record and Quality Systems: A Case in the United States Department of the Navy,2017,Management and Leadership
IMPROVING THE GOVERNMENT PURCHASE CARD APPROVAL PROCESS AT THE U.S. MILITARY ACADEMY: A LEAN SIX SIGMA APPLICATION,2017,Process Improvement
"Enterprise Business System Effects on Workforce Staffing Levels: Examining Organizational Learning and Knowledge Transfer within the Department of Defense, Defense Logistics Agency",2017,Management and Leadership
Discovering Motivational Factors behind Employees Conducting Non-Malicious Information Security Policy Behavior: A Military Perspective,2017,Management and Leadership
Establishing Best Practices in Logistics within Naval Aviation Enterprise: A Qualitative Case Study,2017,Management and Leadership
Stay Off the Grass: Experiences of Mentors and Mentees in the U. S. Army,2017,Management and Leadership
Investigating the Perceived Influence of Data Warehousing and Business Intelligence Maturity on Organizational Performance: A Mixed Methods Study,2017,Management and Leadership
The Development of Organizational Training: Identifying Generational Differences and Perceptions in Computerized Learning Systems in Government Organizations,2017,Management and Leadership
The Effect of the Selfless Leadership Program,2017,Management and Leadership
Improving Fleet Readiness Utilizing the AIRSpeed Continuous Improvement Strategy,2017,Process Improvement
Model-Based Systems Engineering Application to Analyze the Ground Vehicle and Robotics Sustainment Support Strategy,2017,Process Improvement
Agile methodology for spacecraft ground software development: A cultural shift,2017,Process Improvement
A Deterministic and Random Propagation Study with the Design of an Open Path 320 GHz to 340 GHz Transmissometer,2017,Process Improvement
The Challenges of Commanding Modular Organizations: Based on a Modified Delphi Analysis of the U.S. Army,2017,Management and Leadership
Strategies that Logistics Leaders use for Achieving Successful Process Improvement,2017,Management and Leadership
Strategies for Exploring: ACAT III Requirement Approval Process,2017,Process Improvement
Expeditionary economics: A qualitative case study of Army tactical leaders' economic development skills,2017,Management and Leadership
A Quantitative Study Examining How Training Enhances Policy Compliance,2017,Process Improvement
Hiring for Performance and Retention: Examining the Relationship between Cognitive Fit and Employee Turnover in the U.S. Navy,2017,Process Improvement
Smed Implementation In Electron Beam Machine Applied In Automotive Industry,2016,Management and Leadership
Differentiating Management and Leadership in the U.S. Army: Lessons Learned from the Civlian Sector,2016,Management and Leadership
How to Tell Stories Using Visualization: Strategies Towards Narrative Visualization,2016,Process Improvement
Exploring the Influence of Design Thinking on the Decision Making of Army Leaders,2016,Continuous Learning
"Joint Improvised-Threat Defeat Agency (JIDA) Technology Development/Identification, Acquisition and Support: An Exploratory Case Study",2016,Management and Leadership
Job Satisfaction in the National Geospatial Intelligence Agency,2016,Management and Leadership
Strategies for Implementing a Successful Enterprise Resource Planning System,2016,Management and Leadership
"The relationship between U.S. Federal Governments cost estimates, service contract costs, and cost overruns",2016,Management and Leadership
"Army veteran's discipline cuts used-car recon time in half: Standardizing processes, reducing redundancy key",2015,Management and Leadership
Utilizing the SETR process in the procurement of TPSs on the CASS Family of Testers,2015,Process Improvement
Benchmarking contract management process maturity: a case study of the US Navy,2015,Process Improvement
A Roadmap of How One Governor Used Economic Development to Create a New Virginia Economy-Part Two,2015,Management and Leadership
Systems engineering framework for cyber physical security and resilience,2015,Process Improvement
INTERNATIONAL CHAPTER NEWS,2015,Process Improvement
Frigate Update,2015,Process Improvement
COMMENT & DISCUSSION,2015,Management and Leadership
KENDALL RELEASES NEW PENTAGON ACQUISITION POLICY GUIDANCE,2015,Uncategorized
KENDALL RELEASES NEW PENTAGON ACQUISITION POLICY GUIDANCE,2015,Uncategorized
KENDALL RELEASES NEW ACQUISITION POLICY GUIDANCE,2015,Uncategorized
Kendall Releases New Acquisition Policy Guidance,2015,Uncategorized
KENDALL RELEASES NEW PENTAGON ACQUISITION POLICY GUIDANCE,2015,Uncategorized
Design and Implementation of the VLF Wave and Particle Precipitation Mapper Sensor Suite,2015,Process Improvement
Improving Defense Acquisition Outcomes Using an Integrated Systems Engineering Decision Management (ISEDM) Approach,2015,Process Improvement
Integrating the principles of total quality into the strategic planning process for a federal services acquisition organization,2015,Management and Leadership
APPLICATION OF LEAN SIX SIGMA PROCESS IMPROVEMENT AT TOBYHANNA ARMY DEPOT,2015,Process Improvement
Reducing the Risk of Excessive Completion Times for Lean Six Sigma Competency Office (LSSCO) Green Belt Projects,2015,Process Improvement
Program Evaluation: A Federal Agency's Air Traffic Control Train-the-Trainer Program,2015,Management and Leadership
Analysis of Light Emitting Diode Technology for Aerospace Suitability in Human Space Flight Applications,2015,Management and Leadership
Intelligence Community (IC) Performance Management: Did the Director of National Intelligence's (DNI) 2007 IC Policy Directive 651 on Performance Management Achieve its Policy Objectives?,2015,Management and Leadership
Logistics outsourcing: The value of the relationship between a corporation and the 3PL contractor,2015,Management and Leadership
Improving Statistical Rigor in Department of Defense Test and Evaluation: Use of Tolerance Intervals in Designed Experiments,2015,Process Improvement
THE NDTA-USTRANSCOM FALL MEETING,2014,Process Improvement
"In acquiring radar system, air force makes corrosion requirements well known to industry",2014,Management and Leadership
ACHIEVEMENTS,2014,Continuous Learning
Dignity and Respect: The Mission of the Warrior Transition Battalion-Europe: Army Logistician,2014,Process Improvement
PACOM Launches New Asia Pacific Proliferation Security Exercise,2014,Management and Leadership
PACOM Launches New Asia Pacific Proliferation Security Exercise,2014,Management and Leadership
PACOM Launches New Asia Pacific Proliferation Security Exercise,2014,Management and Leadership
PACOM Launches New Asia Pacific Proliferation Security Exercise,2014,Management and Leadership
PACOM Launches New Asia Pacific Proliferation Security Exercise,2014,Management and Leadership
PACOM Announces First Asia Pacific Proliferation Security Exercise,2014,Management and Leadership
Handheld Devices and Forward Observers,2014,Management and Leadership
Management Fads: Beware of the Next Big Thing: Army Logistician,2014,Process Improvement
Polymer-Ceramic Nancomposites for Bone Regeneration,2014,Process Improvement
Application of LEAN Methodology to Support Projects Improvements in a Die Casting Industry,2014,Process Improvement
<b>Fenton’s Process Applied to Wastewaters Treatment</b>: Heterogeneous and Homogeneous Catalytic Operation Modes,2014,Process Improvement
BUSINESS TRANSFORMATION DISRUPTORS: AN INVESTIGATION AT THE MILITARY STRATEGIC COMMAND LEVEL,2014,Management and Leadership
Military leader perceptions of sexual assaults against female service members,2014,Management and Leadership
An Exploration of Organizational Collective Motivation and the Influence of the SOAR Framework to Build Organizational Collective Motivation,2014,Management and Leadership
Dynamic Guidelines to Statistically Control Peer Review Costs,2014,Management and Leadership
Making Program/Budget Decisions about the Future of the Navy: How Senior Flag Officers Work with Political Appointees and Career Civilian Executives inside the Navy Headquarters,2014,Management and Leadership
An Evaluation of Organizational Change and Lean Six Sigma in Federal Government,2014,Management and Leadership
"Asset turn-in Lean Six Sigma project for White Sands Test Center, Department of the Army",2014,Process Improvement
The perspectives of women leaders within the Department of Defense: Insights from their lived experiences,2014,Management and Leadership
An examination of the effects of incrementalism and annuality in U.S. government budgeting practices,2014,Management and Leadership
Female officers who achieved general officer status in the u.s. army: A multiple-case study of motivation and success strategies,2014,Management and Leadership
Wheel of innovation: How leaders' attitudes and behaviors drive disruptive technology in the U.S. Navy,2014,Management and Leadership
Sailing on a Sea of Hope: Exploring the Impact of Federal Consolidation on Individual Identification and Organizational Identity,2014,Management and Leadership
An investigation of business transformation disruptors at the military strategic command level,2014,Management and Leadership
The Effectiveness of Soldier Medical Readiness Councils in Reducing and Shaping the Population of Soldiers Not Medically Deployable,2013,Management and Leadership
2013 Top Forty Under 40: Angela M. Major,2013,Management and Leadership
NDTA: The Association for Global Logistics and Transportation,2013,Management and Leadership
Depot Service Changes With Technology,2013,Management and Leadership
A Network Approach to Identifying Military Fleet Replacement Strategies,2013,Management and Leadership
From Business Process Outsourcing to Business Process Management: Romania as an Outsourcing Destination for Portuguese Speaking Countries,2013,Management and Leadership
The Role of Simulation in Business Process Improvement: Difficulties and Solutions,2013,Process Improvement
Pay for performance in the public sector: From the National Security Personnel system to the Affordable Care Act,2013,Process Improvement
Senior leader commitment to continuous process improvement: An exploratory study of a military organization,2013,Management and Leadership
Triazine-mediated disruption of BLTK1 Leydig cell steroidogenesis,2013,Continuous Learning
The influence of contemporary Army culture on senior enlisted women's decision to commit to a lifelong career,2013,Management and Leadership
Project management professional training needs for defense industry projects,2013,Management and Leadership
STEWARDSHIP IN THE DESERT: Making and Saving Money in the Southwest Asia Theater of Operation,2013,Management and Leadership
Lean principles and defense information technology acquisition: An investigation of the determinants of successful application,2013,Continuous Learning
A holistic compliance model for capture teams: A grounded theory approach,2013,Process Improvement
Exploring Knowledge Sharing in the Department of Defense,2013,Management and Leadership
The Impact of an ISO 9000-Compliant Quality Management System on Product Quality from Suppliers in a DOD Procurement Environment,2013,Management and Leadership
CPI in public service: IE,2012,Management and Leadership
"CDFM, LSS, and the Future Resource Manager: Army Logistician",2012,Process Improvement
"Abstracts from the Society for Clinical Trials Annual Meeting, Miami, May 21-23, 2012",2012,Continuous Learning
"TWICE THE CITIZEN, TWICE THE STUDENT",2012,Management and Leadership
Enabling Resource-Informed Decision Making: An Industry Perspective,2012,Process Improvement
The New Cost Warriors,2012,Management and Leadership
Team spirit,2012,Management and Leadership
Army Aviation Update,2012,Management and Leadership
Mega - Mobile Multimodal Extended Games,2012,Uncategorized
Bridging the knowledge gap between the Baby Boomers and the multigenerations,2012,Management and Leadership
Methodology for engineering requirements for complex systems,2012,Process Improvement
Application and implementation of the Supply Chain Operations Reference (SCOR) model at the United States Department of Defense (DoD),2012,Process Improvement
Identifying operations research systems analysts' technical competencies: A Delphi approach,2012,Process Improvement
An Organizational Analysis of Strategic Sourcing in the U.S. Department of Defense,2012,Management and Leadership
Lean six sigma saves lives,2011,Process Improvement
USARCENT: A Day in the Life . . .,2011,Management and Leadership
TOWARDS A CULTURE OF RISK MANAGEMENT,2011,Process Improvement
Prospecting the Frontiers of Logistics Research: Army Logistician,2011,Management and Leadership
"Meanwhile, IN THE real world...: IE",2011,Process Improvement
An Elite Crew,2011,Management and Leadership
"A Case Study of the U.S. Army Human Resources Command in Army Business Transformation: Measuring Psychological Capital, Resistance to Change, and Organizational Citizenship Behavior to Understand the Role of Positive Organizational Behavior in the Context of Organizational Change",2011,Management and Leadership
"The Congress and DOD Management Process: Space Acquisition, a Critique and Evaluation",2011,Management and Leadership
ARCHITECT: The architecture-based technology evaluation and capability tradeoff method,2011,Process Improvement
Lean Six Sigma deployment: Improving Green Belt productivity,2011,Process Improvement
Assessment of methods for monitoring responses to river restoration: Riverbed and channel form changes,2011,Process Improvement
"Development of Knowledge, Skills, and Abilities as Core Competencies for Technology Protection Professionals",2011,Management and Leadership
A quantitative study of military career transitions with emphasis in knowledge management,2011,Management and Leadership
"A framework for evaluating technology readiness, system quality, and program performance of U.S. DoD acquisitions",2011,Management and Leadership
From the Swamp to the High Ground and Back: Army Logistician,2011,Management and Leadership
Building Information Management (BIM) Implementation in Naval Construction,2011,Process Improvement
Some aspects of the behaviour of pelagic species species off Angola and its implication on biomass estimation,2011,Continuous Learning
Testing Software Development Project Productivity Model,2011,Process Improvement
"Responding to Secretary Gates' Challenge to Eliminate Waste: The Time for a True Government/Industry ""Team Effort"" Is Now!",2010,Process Improvement
Whitman Executive Education for the Department of Defense,2010,Management and Leadership
DIAGNOSING PERFORMANCE MANAGEMENT AND PERFORMANCE BUDGETING SYSTEMS: A CASE STUDY OF THE U.S. NAVY,2010,Management and Leadership
General Dynamics Information Technology: Delivering Full Spectrum Logistics,2010,Continuous Learning
Exploring Methods of Improving Software Testing to Enhance Domestic Software Development Competitiveness,2010,Process Improvement
Characteristics of successful collaboration in defense contract management: A study at Fort Irwin Army National Training Center,2010,Management and Leadership
United States Air Force reenlistment: Factors affecting a first-term Airman's decision to reenlist during a period of war,2010,Management and Leadership
Factors influencing intent to persist in higher education of participants in U.S. Army Reserve Officer Training Corps (ROTC) programs,2010,Continuous Learning
Presidential executive orders and energy conservation in the United States federal government: An analysis of conservation methodologies in a Department of Defense naval hospital,2010,Management and Leadership
Utilizing knowledge transfer to promote management of countervailing risks in value stream analysis,2010,Process Improvement
An investigation of supply chain management in the 21st century: A case study of supplier relationship management through strategic partnering with the Defense Logistics Agency,2010,Management and Leadership
Factors influencing organizational change in the Department of Defense,2010,Management and Leadership
On optimizing the allocation of resources in project-based organizations: A public-sector case study,2010,Management and Leadership
DoD's Financial Audit Strategy: THE WAY AHEAD,2010,Management and Leadership
Joint -service integration: An organizational culture study of the United States Department of Defense voluntary education system,2010,Management and Leadership
Optimizing the Decision Rule of a GPS Integrity Monitoring System for Improved Availability,2010,Management and Leadership
Information assurance within the United States Air Force,2010,Continuous Learning
Exploring the impact of the Clinger-Cohen Act on information technology governance: A phenomenological study,2010,Management and Leadership
DoD COMPTROLLER WORKFORCE of the FUTURE,2009,Management and Leadership
Defense Watch,2009,Management and Leadership
Business Transformation Agency Exhibits at Lean Six Sigma for Defense Symposium,2009,Process Improvement
Enabling Suppliers for New Build Activity,2009,Process Improvement
NATIONAL DEFENSE TRANSPORTATION ASSOCIATION,2009,Management and Leadership
Whither the Defense Budget? Countervailing Pressures and Process Challenges,2009,Management and Leadership
The Chief Financial Officer Academy: Meeting Strategic Training Needs,2009,Management and Leadership
"WEST COAST BASING OF THE MV-22, SOUTHERN CALIFORNIA AND SOUTHERN ARIZONA. [Part 12 of 12]",2009,Process Improvement
"WEST COAST BASING OF THE MV-22, SOUTHERN CALIFORNIA AND SOUTHERN ARIZONA. [Part 9 of 9]",2009,Process Improvement
Re-Engineering USAF Avionics Maintenance: Lean Challenges,2009,Process Improvement
Naval Approach to Decision Making,2009,Management and Leadership
